,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff,T_choque_dolar,vix_ret_log,sp500_ret_log,petroleo_ret_log,br_selic
2002-06-11,-0.0314415258348184,0.0001,0.0297,0.6766666666666666,0.0009188459875293,-0.01,64.0,1,0.0,0.0,0.0,-0.002342000000000107
2002-06-12,-0.0063262750528778,-0.000167,0.0822000000000002,0.7023333333333333,0.0009180024845694,0.0,88.0,1,0.0,0.0,0.0,-0.002509000000000107
2002-06-13,-0.0141940544473708,0.0001,-0.0564,0.728,0.000917160528866,0.0,-59.0,1,0.0,0.0,0.0,-0.0024090000000001072
2002-06-14,-0.0222315905569008,0.0002019999999999,0.0259,0.7536666666666667,0.0009163201161648,0.0,78.0,1,0.0,0.0,0.0,-0.002207000000000207
2002-06-17,0.020139452047438,6.699999999999762e-05,-0.0358,0.8306666666666667,0.0027439332388361,0.0,-65.0,1,0.0,0.0,0.0,-0.0021400000000002094
2002-06-18,-0.0097652093446622,0.0,-0.0123000000000002,0.8563333333333334,0.0009129738108573,0.0,63.0,0,0.0,0.0,0.0,-0.0021400000000002094
2002-06-19,-0.0281394563816181,0.0,0.0329999999999999,0.882,0.0009121410499108,0.0,69.0,1,0.0,0.0,0.0,-0.0021400000000002094
2002-06-20,-0.0521500177710017,3.300000000000525e-05,0.0475000000000003,0.9076666666666666,0.0009113098067672,0.0,211.0,1,0.0,0.0,0.0,-0.002107000000000204
2002-06-21,-0.0479746566540963,0.0,0.0404999999999997,0.9333333333333332,0.0009104800772892,0.01,113.0,1,0.0,0.0,0.0,-0.002107000000000204
2002-06-24,0.0341291336502482,0.0,0.0359000000000002,1.0103333333333333,0.0027264769297161,0.0,-182.0,1,0.0,0.0,0.0,-0.002107000000000204
2002-06-25,-0.004938281640582,0.0,-0.0274,1.036,0.0009071762135839,0.0,107.0,1,0.0,0.0,0.0,-0.002107000000000204
2002-06-26,-0.0014020659398266,0.0,0.0588999999999999,1.0616666666666668,0.0009063539907465,0.0,78.0,1,0.0,0.0,0.0,-0.002107000000000204
2002-06-27,0.0296741271514431,0.0,0.0009000000000001,1.0873333333333333,0.0009055332570078,0.0,-110.0,0,0.0,0.0,0.0,-0.002107000000000204
2002-06-28,0.0113760706802459,0.0,-0.0149000000000003,1.113,0.0009047140083318,0.0,-72.0,0,0.0,0.0,0.0,-0.002107000000000204
2002-07-01,-0.022423889051538,0.0,0.0151000000000003,1.19,0.0027092413231883,0.16,72.0,0,0.0,0.0,0.0,-0.002107000000000204
2002-07-02,-0.004232226392645,-3.300000000000525e-05,0.0545999999999997,1.1725806451612903,0.0002398916052328,0.0,83.0,1,0.0,0.0,0.0,-0.0021400000000002094
2002-07-03,-0.0195518750380951,0.0,-0.0524,1.1551612903225803,0.0002398340710527,0.0399999999999999,45.0,1,0.0,0.0,0.0,-0.0021400000000002094
2002-07-04,0.0017847921698059,-3.399999999999237e-05,-0.0135999999999998,1.137741935483871,0.000239776564463,-0.01,-9.0,0,0.0,0.0,0.0,-0.002174000000000202
