,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff
2017-05-23,0.0159089694644922,0.0,-0.0209000000000001,-0.0732258064516129,-0.0004648157451629,0.0,-8.0
2017-05-24,0.0094505901168524,0.0,-0.0024999999999999,-0.0906451612903226,-0.0004650318993153,0.0,1.0
2017-05-25,-0.000474368308442,0.0,0.0194999999999998,-0.1080645161290322,-0.0004652482545992,0.01,5.0
2017-05-26,0.0134789020695276,0.0,-0.0209999999999999,-0.125483870967742,-0.0004654648112936,0.0,-3.0
2017-05-29,-0.0050686090085125,0.0,0.0095,-0.177741935483871,-0.0013976957923915,0.0,3.0
2017-05-30,0.003147438847062,0.0,-0.0050000000000003,-0.1951612903225807,-0.0004663330578242,0.0,-2.0
2017-05-31,-0.0197522861725207,0.0,-0.0221999999999997,-0.2125806451612904,-0.0004665506258092,0.0,0.0
2017-06-01,-0.0067520256518687,-0.003587,-0.0129999999999999,-0.23,-0.000466768396901,-0.12,0.0
2017-06-02,0.003557696060227,0.0,0.0093999999999998,-0.2143333333333333,0.0003636171945196,0.0,-1.0
2017-06-05,-0.0009763046845865,0.0,0.0419,-0.1673333333333333,0.0010900589512079,0.0,0.0
2017-06-06,0.0080539488820772,0.0,-0.0003000000000001,-0.1516666666666666,0.0003630890927635,0.0,2.0
2017-06-07,0.0034251496308392,0.0,-0.0069999999999996,-0.136,0.0003629573069243,0.0,3.0
2017-06-08,-0.0065911441137949,0.0,0.0090999999999996,-0.1203333333333333,0.0003628256167136,0.0,-3.0
2017-06-09,-0.0087223579868958,0.0,-0.0097999999999998,-0.1046666666666666,0.00036269402203,0.01,0.0
2017-06-12,-0.0082479020724708,0.0,0.0245999999999999,-0.0576666666666667,0.001087293451695,0.0,1.0
2017-06-13,0.002088579149726,0.0,0.0222000000000002,-0.042,0.0003621685964834,-0.01,-4.0
2017-06-14,0.001519167659163,0.0,-0.0372000000000003,-0.0263333333333333,0.0003620374778794,0.0,-1.0
2017-06-16,-0.0048078183085085,0.0,0.0056000000000002,0.0049999999999999,0.0007236819794531,0.0,5.0
2017-06-19,0.0062763065945432,0.0,0.0082999999999997,0.0519999999999999,0.00108454194892,0.0,3.0
2017-06-20,-0.0203297439769816,0.0,0.0169999999999999,0.0676666666666666,0.0003612527556509,0.0,10.0
2017-06-21,-6.582845108127344e-05,0.0,0.0102000000000002,0.0833333333333332,0.000361122299223,0.0,3.0
2017-06-22,0.0083583750290898,0.0,0.0114999999999998,0.0989999999999999,0.0003609919369829,-0.0099999999999999,-4.0
2017-06-23,-0.0030238910250766,0.0,-0.0019999999999997,0.1146666666666666,0.0003608616688293,0.0099999999999999,-4.0
2017-06-26,0.0178629775052776,0.0,-0.0213999999999998,0.1616666666666666,0.0010818043368896,-0.0099999999999999,-4.0
2017-06-27,-0.0082833926720731,0.0,0.0043999999999999,0.1773333333333333,0.0003603415350319,0.0,8.0
2017-06-28,0.0055460030748708,0.0,-0.0142000000000002,0.1929999999999999,0.0003602117357814,0.0,-8.0
2017-06-29,0.0035571474127245,0.0,-0.0078,0.2086666666666666,0.0003600820300082,0.0,4.0
2017-06-30,0.0105643508033796,0.0,0.0129999999999999,0.2243333333333333,0.0003599524176074,0.0099999999999999,-5.0
2017-07-03,0.0060231597530027,0.0,-0.0066999999999999,0.236774193548387,0.0012248805294099,-0.0199999999999999,-3.0
2017-07-05,-0.0019931354178801,0.0,0.0178000000000002,0.2335483870967742,0.0008643099529557,-0.01,5.0
2017-07-06,-0.0108897465360389,0.0,-0.0129000000000001,0.2319354838709677,0.0004318750009151,0.01,6.0
2017-07-07,-0.0023719480317492,0.0,-0.0169000000000001,0.2303225806451612,0.0004316885654116,0.0,-4.0
2017-07-10,0.0112169796002525,0.0,-0.0244999999999997,0.2254838709677419,0.001293948691126,0.0,-7.0
2017-07-11,0.0127231589319976,0.0,-0.0127999999999999,0.2238709677419355,0.000430944430267,0.0,-4.0
2017-07-12,0.0156063726439494,0.0,-0.0258000000000002,0.222258064516129,0.0004307587971617,0.0,-5.0
2017-07-13,0.0052609840297392,0.0,-0.0156,0.2206451612903225,0.0004305733239107,-0.01,0.0
2017-07-14,0.0039505770522563,0.0,-0.0208999999999996,0.2190322580645161,0.0004303880103133,0.01,-3.0
2017-07-17,-0.0034290646545169,0.0,-0.0078,0.2141935483870967,0.0012900537427622,-0.01,-1.0
2017-07-18,0.0019302955055291,0.0,-0.0153000000000003,0.2125806451612903,0.0004296483483106,0.0,0.0
2017-07-19,-0.0024211231735229,0.0,-0.0134999999999996,0.2109677419354838,0.0004294638298816,0.0,-2.0
2017-07-20,-0.0037197048683506,0.0,-0.0131000000000001,0.2093548387096774,0.0004292794698734,0.0,-5.0
2017-07-21,-0.0039190928253667,0.0,-0.0146000000000001,0.2077419354838709,0.0004290952680818,0.01,-2.0
2017-07-24,0.0064106734988254,0.0,0.0203000000000002,0.2029032258064516,0.0012861821726009,0.0,6.0
2017-07-25,0.0086871952177496,0.0,0.0097,0.2012903225806451,0.0004283600390078,0.0,2.0
2017-07-26,-0.0100552580853161,0.0,0.0100999999999999,0.1996774193548387,0.0004281766252471,0.0,-3.0
2017-07-27,0.0040832673705377,-0.0036209999999999,-0.0144000000000001,0.1980645161290322,0.0004279933684898,0.0,-1.0
2017-07-28,0.0033645863480735,0.0,-0.0055999999999998,0.1964516129032258,0.0004278102685297,0.0,3.0
2017-07-31,0.0064375455356486,0.0,-0.0150000000000001,0.1916129032258064,0.0012823337707885,0.0,-3.0
2017-08-01,0.0090006346244511,0.0,-0.0146000000000001,0.19,0.0004270794326508,0.01,-1.0
2017-08-02,0.0092778925481642,0.0,0.0106999999999999,0.1890322580645161,-0.0006945597575249,0.0,1.0
2017-08-03,-0.0053617028972485,0.0,-0.0073999999999996,0.1880645161290322,-0.0006950425060985,0.0,-4.0
2017-08-04,0.0018103614445053,0.0,0.0029999999999996,0.1870967741935484,-0.0006955259262024,0.0,-2.0
2017-08-07,0.0154558914113493,0.0,0.0043000000000001,0.1841935483870967,-0.0020894850355581,0.0,1.0
2017-08-08,-0.0006036558167394,0.0,0.0053,0.1832258064516129,-0.0006974663499956,0.0,-1.0
2017-08-09,-0.0033635791835884,0.0,0.0143999999999997,0.182258064516129,-0.0006979531488511,0.0,7.0
2017-08-10,-0.0100845184553222,0.0,0.0079000000000002,0.1812903225806451,-0.0006984406277066,0.0,12.0
2017-08-11,0.0054633149413856,0.0,0.0152000000000001,0.1803225806451613,-0.0006989287879886,0.0,0.0
2017-08-14,0.0136535989122155,0.0,0.0192999999999998,0.1774193548387097,-0.0020997221613825,0.0,-5.0
2017-08-15,0.0010245902535661,0.0,0.0087999999999999,0.1764516129032258,-0.0007008882720285,0.0,-7.0
2017-08-16,0.0034903539658728,0.0,-0.0306000000000001,0.1754838709677419,-0.0007013798609687,0.0,2.0
2017-08-17,-0.0090356546822967,0.0,-0.0066999999999999,0.174516129032258,-0.0007018721399738,0.0,8.0
2017-08-18,0.0107981033392849,0.0,0.0051000000000001,0.1735483870967742,-0.0007023651104951,0.0,-2.0
2017-08-21,-0.0011649073031936,0.0,-0.0211000000000001,0.1706451612903226,-0.0021100600917183,0.0,2.0
2017-08-22,0.0198497638572341,0.0,0.0096000000000002,0.1696774193548387,-0.0007043439370058,0.0,-3.0
2017-08-23,0.006648231819943,0.0,0.0029999999999996,0.1687096774193548,-0.0007048403870797,0.0,-2.0
2017-08-24,0.0092507597721507,0.0,-0.0164999999999997,0.1677419354838709,-0.0007053375374841,0.0099999999999999,-5.0
2017-08-25,-0.0008297763596072,0.0,0.0057999999999998,0.1667741935483871,-0.0007058353897004,-0.0099999999999999,1.0
2017-08-28,-0.0008023027926817,0.0,0.0100999999999999,0.1638709677419355,-0.0021205003228566,0.0099999999999999,3.0
